timestamp,event,vm_id,clock
1740794290.835,Internal event: clock ticked to 1.,3,1.0
1740794290.835,Internal event: clock ticked to 1.,1,1.0
1740794290.835,Internal event: clock ticked to 1.,2,1.0
1740794291.007,Received message: updated clock to 3. Queue length: 0,3,
1740794291.007,Sent message to VM 3: clock is now 2.,1,2.0
1740794291.175,Internal event: clock ticked to 4.,3,4.0
1740794291.175,Sent message to VM 3: clock is now 3.,1,3.0
1740794291.336,Sent message to VM 3: clock is now 2.,2,2.0
1740794291.346,Internal event: clock ticked to 4.,1,4.0
1740794291.346,Received message: updated clock to 5. Queue length: 1,3,
1740794291.514,Received message: updated clock to 6. Queue length: 0,3,
1740794291.514,Internal event: clock ticked to 5.,1,5.0
1740794291.686,Internal event: clock ticked to 7.,3,7.0
1740794291.686,Internal event: clock ticked to 6.,1,6.0
1740794291.841,Internal event: clock ticked to 3.,2,3.0
1740794291.857,Internal event: clock ticked to 7.,1,7.0
1740794291.858,Sent message to VM 1: clock is now 8.,3,8.0
1740794292.028,Received message: updated clock to 9. Queue length: 0,1,
1740794292.03,Sent message to VM 1: clock is now 9.,3,9.0
1740794292.03,Sent message to VM 2: clock is now 10.,3,10.0
1740794292.196,Received message: updated clock to 10. Queue length: 0,1,
1740794292.198,Sent message to VM 2: clock is now 11.,3,11.0
1740794292.346,Received message: updated clock to 11. Queue length: 1,2,
1740794292.365,Internal event: clock ticked to 11.,1,11.0
1740794292.368,Internal event: clock ticked to 12.,3,12.0
1740794292.536,Internal event: clock ticked to 13.,3,13.0
1740794292.536,Internal event: clock ticked to 12.,1,12.0
1740794292.704,Internal event: clock ticked to 13.,1,13.0
1740794292.704,Internal event: clock ticked to 14.,3,14.0
1740794292.851,Received message: updated clock to 12. Queue length: 0,2,
1740794292.875,Internal event: clock ticked to 14.,1,14.0
1740794292.876,Sent message to VM 2: clock is now 16.,3,16.0
1740794292.876,Sent message to VM 1: clock is now 15.,3,15.0
1740794293.046,Received message: updated clock to 16. Queue length: 0,1,
1740794293.047,Internal event: clock ticked to 17.,3,17.0
1740794293.217,Internal event: clock ticked to 17.,1,17.0
1740794293.219,Internal event: clock ticked to 18.,3,18.0
1740794293.357,Received message: updated clock to 17. Queue length: 0,2,
